"Date","서울특별시"
"2020-01-05",22622696
"2020-01-12",22858668
"2020-01-19",23010631
"2020-01-26",21128747
"2020-02-02",21616396
"2020-02-09",22255172
"2020-02-16",22286576
"2020-02-23",21588146
"2020-03-01",19448959
"2020-03-08",19230481
"2020-03-15",19924207
"2020-03-22",20116186
"2020-03-29",20257259
"2020-04-05",20495790
"2020-04-12",20766054
"2020-04-19",20700995
"2020-04-26",21445896
"2020-05-03",21112052
"2020-05-10",21829622
"2020-05-17",22083903
"2020-05-24",22139540
"2020-05-31",22242545
"2020-06-07",22256898
"2020-06-14",22165584
"2020-06-21",22357415
"2020-06-28",22216451
"2020-07-05",22477594
"2020-07-12",22304808
"2020-07-19",22354631
"2020-07-26",22329293
"2020-08-02",21908572
"2020-08-09",21723378
"2020-08-16",21832913
"2020-08-23",20210586
"2020-08-30",19694435
"2020-09-06",19226821
"2020-09-13",19589918
"2020-09-20",21161838
"2020-09-27",21693257
"2020-10-04",19248981
"2020-10-11",21670665
"2020-10-18",22491999
"2020-10-25",22574948
"2020-11-01",22629252
"2020-11-08",22707424
"2020-11-15",22719294
"2020-11-22",21966989
"2020-11-29",20584075
"2020-12-06",20498780
"2020-12-13",19689825
"2020-12-20",18989909
"2020-12-27",18577631
"2021-01-03",18314161
"2021-01-10",19157505
"2021-01-17",19760955
"2021-01-24",20418610
"2021-01-31",20556374
"2021-02-07",20870700
"2021-02-14",19078792
"2021-02-21",20944205
"2021-02-28",21410609
"2021-03-07",21551581
"2021-03-14",22226834
"2021-03-21",22128228
"2021-03-28",22031230
"2021-04-04",22246904
"2021-04-11",22290313
"2021-04-18",21872481
"2021-04-25",22064992
"2021-05-02",22008833
"2021-05-09",21803588
"2021-05-16",21976175
"2021-05-23",21793955
"2021-05-30",22031857
"2021-06-06",22210380
"2021-06-13",22151671
"2021-06-20",22299602
"2021-06-27",22393552
"2021-07-04",22211652
"2021-07-11",21785862
"2021-07-18",20412136
"2021-07-25",20309362
"2021-08-01",20125912
"2021-08-08",20365461
"2021-08-15",20702905
"2021-08-22",20529910
"2021-08-29",21136768
"2021-09-05",21512578
"2021-09-12",21787976
"2021-09-19",21815686
"2021-09-26",19535521
"2021-10-03",21814360
"2021-10-10",21224666
"2021-10-17",21691062
"2021-10-24",22092168
"2021-10-31",22304261
"2021-11-07",22807812
"2021-11-14",22420316
"2021-11-21",22502822
"2021-11-28",22420315
"2021-12-05",22361082
"2021-12-12",21439859
"2021-12-19",20979827
"2021-12-26",21633550
"2022-01-02",21213478
"2022-01-09",21786900
"2022-01-16",21776062
"2022-01-23",21839101
"2022-01-30",21511238
"2022-02-06",19136504
"2022-02-13",21659513
"2022-02-20",21193388
"2022-02-27",21105574
"2022-03-06",21170489
"2022-03-13",21089287
"2022-03-20",21228338
"2022-03-27",21521084
"2022-04-03",22023657
"2022-04-10",22738635
"2022-04-17",22505803
"2022-04-24",22836324
"2022-05-01",23145901
"2022-05-08",22967210
"2022-05-15",23723413
"2022-05-22",23595740
"2022-05-29",23495387
"2022-06-05",23016010
"2022-06-12",22862044
"2022-06-19",23320632
"2022-06-26",23139543
"2022-07-03",22939099
"2022-07-10",23284772
"2022-07-17",22460809
"2022-07-24",22735642
"2022-07-31",22431832
"2022-08-07",22344357
"2022-08-14",21783211
"2022-08-21",22095432
"2022-08-28",22890301
"2022-09-04",23129675
"2022-09-11",21564263
"2022-09-18",22759214
"2022-09-25",23617395
"2022-10-02",24168487
"2022-10-09",24062158
"2022-10-16",24060755
"2022-10-23",24744136
"2022-10-30",24765704
"2022-11-06",24608586
"2022-11-13",24761951
"2022-11-20",24749327
"2022-11-27",24891686
"2022-12-04",24280724
"2022-12-11",24540871
"2022-12-18",22933070
"2022-12-25",22944760
"2023-01-01",22539111
"2023-01-08",22568901
"2023-01-15",22698792
"2023-01-22",21716660
"2023-01-29",20534823
"2023-02-05",22927980
"2023-02-12",23002576
"2023-02-19",22756430
"2023-02-26",22766777
"2023-03-05",22862216
"2023-03-12",23273728
"2023-03-19",23367323
"2023-03-26",23419255
"2023-04-02",23670400
"2023-04-09",23168278
"2023-04-16",23134448
"2023-04-23",23142617
"2023-04-30",23197795
"2023-05-07",22464845
"2023-05-14",23884675
"2023-05-21",23788092
"2023-05-28",22989540
"2023-06-04",23137923
"2023-06-11",22875790
"2023-06-18",23529077
"2023-06-25",23286918
"2023-07-02",23341327
"2023-07-09",24035605
"2023-07-16",23526141
"2023-07-23",23617022
"2023-07-30",23269262
"2023-08-06",22926706
"2023-08-13",22675841
"2023-08-20",22966780
"2023-08-27",23529079
"2023-09-03",23856655
"2023-09-10",24351703
"2023-09-17",24166176
"2023-09-24",24326334
"2023-10-01",21345442
"2023-10-08",23175408
"2023-10-15",23957000
"2023-10-22",24327417
"2023-10-29",24309391
"2023-11-05",24272539
"2023-11-12",24117659
"2023-11-19",24037564
"2023-11-26",24163038
"2023-12-03",24121356
"2023-12-10",24368982
"2023-12-17",24037691
"2023-12-24",24019556
"2023-12-31",23039096
"2024-01-07",23401686
"2024-01-14",23897729
"2024-01-21",23889434
"2024-01-28",23651864
"2024-02-04",24660112
"2024-02-11",22638137
"2024-02-18",23896994
"2024-02-25",24303287
"2024-03-03",24086690
"2024-03-10",24952687
"2024-03-17",25026597
"2024-03-24",24944314
"2024-03-31",24843801
"2024-04-07",26111325
"2024-04-14",25327143
"2024-04-21",25274978
"2024-04-28",25647917
"2024-05-05",25572497
"2024-05-12",25364114
"2024-05-19",25652955
"2024-05-26",26007170
"2024-06-02",26068403
"2024-06-09",25106217
"2024-06-16",25809601
"2024-06-23",25602961
"2024-06-30",25581591
"2024-07-07",25179249
"2024-07-14",25300384
"2024-07-21",24751621
"2024-07-28",24453136
"2024-08-04",24116799
"2024-08-11",24211218
"2024-08-18",23694384
"2024-08-25",24554538
"2024-09-01",24946933
"2024-09-08",25486597
"2024-09-15",24757774
"2024-09-22",22176237
"2024-09-29",25665907
"2024-10-06",24526409
"2024-10-13",25108324
"2024-10-20",26689017
"2024-10-27",25293230
"2024-11-03",25396167
"2024-11-10",25123355
"2024-11-17",25038131
"2024-11-24",25065030
"2024-12-01",24670602
"2024-12-08",24935088
"2024-12-15",24635926
"2024-12-22",24762589
"2024-12-29",23869635
"2025-01-05",22369185
"2025-01-12",22939769
"2025-01-19",23243992
"2025-01-26",22886217
"2025-02-02",19297475