역이름,경도,위도,500미터위도,500미터경도
강일,215544.75993569865,450899.3467981382,450899.35179813823,215544.76493569865
수서,208986.54351958167,442996.2213377614,442996.2263377614,208986.54851958167
삼성,205591.3638438172,445490.4580912708,445490.4630912708,205591.3688438172
서울,197610.7528453332,450685.3644214359,450685.3694214359,197610.7578453332
연신내,193051.9553584777,457690.20937929366,457690.21437929367,193051.9603584777
김포공항,182494.6611895133,451443.763408912,451443.768408912,182494.66618951331
신설동,202053.0967919458,452949.9905309432,452949.9955309432,202053.1017919458
보문,201711.8224631012,453970.00901349,453970.01401349,201711.82746310122
성신여대입구(돈암),201458.6318384938,454766.970608693,454766.975608693,201458.6368384938
정릉,201182.91614648115,455950.7341299845,455950.7391299845,201182.92114648115
북한산보국문,200728.50650404423,456942.8130115392,456942.81801153923,200728.51150404423
솔샘,201202.95044567413,457849.2063317467,457849.2113317467,201202.95544567413
삼양사거리,201807.40070597013,457971.2933885535,457971.2983885535,201807.40570597013
삼양,201598.3174129811,458590.2382019277,458590.2432019277,201598.3224129811
화계,201545.64393668988,459391.4614216198,459391.4664216198,201545.6489366899
가오리,201481.76809454465,460213.2170376389,460213.2220376389,201481.77309454465
4.19민주묘지,201207.59720924,461097.2061320873,461097.2111320873,201207.60220924
솔밭공원,201171.2244006988,461821.7430985466,461821.7480985466,201171.2294006988
북한산우이,201121.088238868,462585.2366775184,462585.2416775184,201121.093238868
관악산(서울대),195140.24982294292,441076.25011422014,441076.25511422014,195140.25482294292
서울대벤처타운,194156.00103206336,441398.7544540054,441398.7594540054,194156.00603206336
서원,194077.00410081408,442090.50120735774,442090.50620735774,194077.0091008141
신림,193775.00343001445,442833.50042720814,442833.50542720815,193775.00843001445
당곡,193589.5018472902,443429.99593915406,443430.00093915407,193589.5068472902
보라매병원,193234.49958498383,443725.5022197746,443725.5072197746,193234.50458498384
보라매공원,192755.99772015543,444015.50334650016,444015.50834650017,192756.00272015543
보라매,192964.49885672412,444537.49663555296,444537.50163555297,192964.50385672413
서울지방병무청,193165.9976904534,445178.0023314756,445178.0073314756,193166.0026904534
대방,193433.49787161624,445983.4993207645,445983.5043207645,193433.50287161625
샛강,193758.49847816429,446404.00238041993,446404.00738041993,193758.5034781643
청계산입구,204925.57712118173,438646.70984523074,438646.71484523074,204925.58212118174
양재시민의숲(매헌),203398.66329728265,441177.766755448,441177.771755448,203398.66829728265
양재(서초구청),203064.8684661673,442707.69885287655,442707.70385287656,203064.8734661673
강남,202485.21352931016,444153.4426007037,444153.4476007037,202485.21852931016
신논현,202215.8057642979,445014.7371005,445014.7421005,202215.8107642979
논현,201893.35072953443,445735.5192964925,445735.5242964925,201893.35572953444
신사,201778.201895452,446317.1783361028,446317.1833361028,201778.206895452
마곡나루,184749.16896260108,451792.5938640907,451792.5988640907,184749.17396260108
디지털미디어시티,191043.66400894747,453050.3522815103,453050.3572815103,191043.66900894747
홍대입구,193524.7078978216,450881.5522485538,450881.5572485538,193524.7128978216
공덕,195760.1080489925,449225.5008614703,449225.5058614703,195760.1130489925
서울역,197328.70973435428,450414.3064673073,450414.3114673073,197328.7147343543
중앙보훈병원,213147.1942637821,447754.3495007739,447754.3545007739,213147.1992637821
둔촌오륜,212198.53814563912,446697.6312404223,446697.6362404223,212198.54314563912
올림픽공원(한국체대),211518.2768398472,446317.7493882269,446317.7543882269,211518.28183984722
한성백제,210299.57731231765,446331.1343256491,446331.1393256491,210299.58231231765
송파나루,209921.3786280137,445661.1979880095,445661.2029880095,209921.38362801372
석촌,209464.40356463543,445087.5267475152,445087.5317475152,209464.40856463544
석촌고분,208579.8944891963,444792.4514327451,444792.4564327451,208579.8994891963
삼전,207783.15868367892,445033.6202941226,445033.6252941226,207783.16368367893
종합운동장,206743.62342148463,445774.9958700645,445775.0008700645,206743.62842148464
봉은사,205326.18082187223,446083.95525192126,446083.96025192126,205326.18582187223
삼성중앙,204710.66706992616,445949.5112005711,445949.5162005711,204710.67206992616
선정릉,203890.0968966595,445647.86749478045,445647.87249478046,203890.1018966595
언주,202994.50193533697,445313.4253883008,445313.4303883008,202994.50693533698
사평,201349.2081708059,444971.0445095559,444971.0495095559,201349.21317080592
고속터미널,200389.3061796097,445167.8354095092,445167.8404095092,200389.3111796097
신반포,199639.6827259193,444883.1521267503,444883.15712675033,199639.6877259193
구반포,198879.8468475224,444655.5852077162,444655.5902077162,198879.8518475224
동작(현충원),198068.2434565581,444823.7684716384,444823.7734716384,198068.2484565581
흑석(중앙대입구),196791.2390875696,445478.0992924577,445478.1042924577,196791.2440875696
노들,195864.3454289061,445935.4430268572,445935.4480268572,195864.3504289061
노량진,194784.2823667292,446007.858915749,446007.863915749,194784.2873667292
여의도,193284.26836688875,446921.9175855547,446921.9225855547,193284.27336688875
국회의사당,192740.6940330368,447626.5907804355,447626.5957804355,192740.6990330368
당산,191409.67171501627,448216.2056925437,448216.2106925437,191409.67671501628
선유도,190589.6752198697,448729.1917243344,448729.1967243344,190589.6802198697
신목동,189667.4029944387,449424.7393416319,449424.7443416319,189667.4079944387
염창,188946.3163484893,449720.7848326587,449720.7898326587,188946.3213484893
등촌,188131.5112427786,450132.1214381848,450132.1264381848,188131.5162427786
증미,187801.24317014543,450883.9911680555,450883.9961680555,187801.24817014544
가양,187140.7474646267,451327.72075404215,451327.72575404216,187140.7524646267
양천향교,185982.59979900863,452105.4058819612,452105.41088196123,185982.60479900864
신방화,183797.47115464613,452015.153357271,452015.158357271,183797.47615464614
공항시장,183273.34759339588,451593.7690968984,451593.7740968984,183273.3525933959
개화,182170.3071938952,453247.80369117134,453247.80869117135,182170.3121938952
복정,211210.66050184472,441298.82132749015,441298.82632749015,211210.66550184472
장지,211161.66597036505,442147.91580613074,442147.92080613074,211161.67097036506
문정,210834.1620560177,442941.2620698871,442941.2670698871,210834.1670560177
가락시장,210470.390567752,443721.3687935761,443721.3737935761,210470.395567752
송파,209919.87254756904,444477.0722085333,444477.0772085333,209919.87754756905
잠실(송파구청),209224.32734317577,446139.8617260913,446139.8667260913,209224.33234317577
몽촌토성(평화의문),209933.0890468853,446442.231086146,446442.23608614603,209933.0940468853
강동구청,210651.6623294512,447878.41366000246,447878.41866000247,210651.66732945121
천호(풍납토성),210893.2499556549,448741.3249710695,448741.3299710695,210893.2549556549
암사,211272.1717756792,450084.4538447219,450084.4588447219,211272.1767756792
암사역사공원,212106.84951406595,450833.6899117277,450833.6949117277,212106.85451406596
온수(성공회대입구),184349.0734409316,443641.1506666618,443641.1556666618,184349.0784409316
천왕,185735.5792864255,443033.2238594015,443033.2288594015,185735.5842864255
가산디지털단지,189621.08266391355,442328.3671679669,442328.3721679669,189621.08766391355
남구로,190028.0873797036,442962.4931977458,442962.4981977458,190028.0923797036
대림(구로구청),190897.96192365533,443733.6335756127,443733.6385756127,190897.96692365533
신풍,192035.527885186,444516.8133933476,444516.8183933476,192035.532885186
신대방삼거리,193657.7477220746,444473.3549341805,444473.3599341805,193657.7527220746
장승배기,194619.6629394008,445049.4776718796,445049.4826718796,194619.6679394008
상도,195394.0925351538,444819.9354768306,444819.9404768306,195394.0975351538
숭실대입구(살피재),195916.47349661004,444064.3957838429,444064.4007838429,195916.47849661004
남성,197457.33475110968,442794.8696049457,442794.8746049457,197457.33975110968
이수,198373.09287600283,442861.2323892565,442861.2373892565,198373.09787600284
내방,199426.28943918392,443129.9032059526,443129.9082059526,199426.29443918393
반포,201036.8520830604,445411.84070889466,445411.84570889466,201036.8570830604
학동,202798.6646481952,446083.83074425056,446083.83574425057,202798.6696481952
강남구청,203647.15587584465,446411.5722104422,446411.5772104422,203647.16087584465
청담,204716.2790681892,446654.7282559652,446654.7332559652,204716.2840681892
뚝섬유원지,205895.84937057667,448006.7547543078,448006.7597543078,205895.85437057668
건대입구,206275.762699822,449033.2261128479,449033.2311128479,206275.767699822
어린이대공원(세종대),206597.4378840188,449835.6962930359,449835.7012930359,206597.4428840188
군자(능동),207010.17186604915,450821.9418707796,450821.9468707796,207010.17686604915
중곡,207449.4743242856,451824.104806101,451824.109806101,207449.4793242856
용마산,207661.3359708425,452681.5726111488,452681.5776111488,207661.34097084252
사가정,207815.2593157541,453486.0506790036,453486.0556790036,207815.26431575412
면목,207728.34305281268,454338.9179217864,454338.9229217864,207728.34805281268
상봉(시외버스터미널),207569.8047477732,455115.4720418139,455115.4770418139,207569.8097477732
중화,206999.35883209656,455888.3424333543,455888.3474333543,206999.36383209657
먹골,206862.7148752125,456786.3523976296,456786.3573976296,206862.7198752125
태릉입구,206656.48193434963,457636.029219112,457636.034219112,206656.48693434964
공릉(서울과학기술대),206435.03717595048,458462.5035525558,458462.5085525558,206435.04217595048
하계,206001.0971475567,459639.7773609077,459639.7823609077,206001.1021475567
중계,205675.0400910737,460553.1041785157,460553.10917851573,205675.0450910737
노원,205335.3203401012,461690.857940406,461690.862940406,205335.3253401012
마들,205088.6986576725,462812.146668057,462812.151668057,205088.7036576725
수락산,204879.62906528063,464244.9057388706,464244.9107388706,204879.63406528064
도봉산,204102.1777668623,465508.7766868739,465508.78168687393,204102.1827668623
신내,209026.16162400987,457070.0057413337,457070.0107413337,209026.16662400987
봉화산(서울의료원),208069.5168844765,457525.0744118394,457525.0794118394,208069.5218844765
화랑대(서울여대입구),207476.6561738917,457833.179847516,457833.184847516,207476.6611738917
석계,205791.37014965768,457255.5740755848,457255.5790755848,205791.3751496577
돌곶이,204982.57146576207,456773.9101376686,456773.9151376686,204982.57646576207
상월곡(한국과학기술연구원),204281.7481039588,456311.8037711834,456311.8087711834,204281.7531039588
월곡(동덕여대),203666.25056563635,455819.93833134224,455819.94333134225,203666.25556563635
고려대(종암),203205.6121132213,454550.0347561625,454550.0397561625,203205.6171132213
안암(고대병원앞),202561.82632194305,454079.6627531719,454079.66775317193,202561.83132194306
창신,201346.25917899408,453345.6307984771,453345.6357984771,201346.26417899408
동묘앞,201382.7882215464,452526.3199020336,452526.3249020336,201382.7932215464
신당,201426.45671466485,451846.5236763357,451846.5286763357,201426.46171466485
청구,201235.7179848816,451230.9523498949,451230.9573498949,201235.7229848816
약수,200915.2475489813,450526.6912203397,450526.6962203397,200915.2525489813
버티고개,200623.44184817804,449832.9891860179,449832.9941860179,200623.44684817805
한강진,200152.45323862063,448902.66693067766,448902.67193067766,200152.45823862063
이태원,199496.38364324285,448331.87086833175,448331.87586833176,199496.38864324286
녹사평(용산구청),198824.0437155956,448352.6934940339,448352.6984940339,198824.0487155956
삼각지,197704.8566153673,448448.26562120765,448448.27062120766,197704.8616153673
효창공원앞,196587.1503362178,448859.1931511488,448859.1981511488,196587.1553362178
대흥(서강대앞),194880.6905679727,449807.68391930807,449807.6889193081,194880.6955679727
광흥창(서강),193990.25828313507,449773.3190779119,449773.3240779119,193990.26328313508
상수,193182.49662926685,449802.79952577926,449802.80452577927,193182.50162926686
합정,192344.37938836456,449969.2347402536,449969.2397402536,192344.38438836456
망원,192052.26095730413,450733.6625870805,450733.6675870805,192052.26595730413
마포구청,191460.3055250528,451557.89446481765,451557.89946481766,191460.3105250528
월드컵경기장(성산),191103.6432613668,452226.0865114867,452226.0915114867,191103.6482613668
증산(명지대앞),192019.2636191592,453817.1765603443,453817.1815603443,192019.2686191592
새절(신사),192371.89841078813,454623.9555166132,454623.9605166132,192371.90341078813
구산,192695.44185050385,456868.8620150812,456868.8670150812,192695.44685050385
독바위,194087.60342624385,457653.44521965215,457653.45021965215,194087.60842624385
불광,193765.5225547477,456812.0495417069,456812.0545417069,193765.5275547477
역촌,193178.2738303987,456273.9925124802,456273.9975124802,193178.27883039872
응암,192544.6856138473,455451.4429894671,455451.4479894671,192544.6906138473
마천,213510.63453705487,443959.0432146875,443959.0482146875,213510.63953705487
거여,212747.70324922816,443748.62884704606,443748.63384704606,212747.70824922816
개롱,211921.8266569284,444299.45575608354,444299.46075608354,211921.8316569284
오금,211312.66658829377,444740.1130355514,444740.1180355514,211312.67158829377
방이,211152.0513820857,445494.61062864575,445494.61562864576,211152.0563820857
둔촌동,212043.32683310265,447596.96113497,447596.96613497,212043.33183310265
상일동,214704.36593495405,450811.46724674304,450811.47224674304,214704.37093495406
고덕,213620.87004876285,450620.0513045469,450620.0563045469,213620.87504876286
명일,212724.45087936,450215.29783859215,450215.30283859215,212724.45587936
굽은다리(강동구민회관앞),212624.1785142731,449561.0908280433,449561.0958280433,212624.1835142731
길동,212373.6755803896,448708.7689316472,448708.7739316472,212373.6805803896
강동,211709.0982095092,448486.162982595,448486.167982595,211709.1032095092
광나루(장신대),209152.6887123185,449537.229634195,449537.234634195,209152.6937123185
아차산(어린이대공원후문),207931.6824834265,450244.9662432683,450244.9712432683,207931.6874834265
장한평,205709.6324563692,451325.1654715713,451325.1704715713,205709.6374563692
답십리,204656.2232884573,451913.522854775,451913.527854775,204656.2282884573
마장,203796.55456016347,451841.2757956927,451841.2807956927,203796.55956016347
왕십리(성동구청),203274.254215396,451368.24338175234,451368.24838175235,203274.259215396
행당,202604.434666806,450866.5617154496,450866.5667154496,202604.439666806
신금호,201796.46911863284,450558.4666656011,450558.47166560113,201796.47411863285
동대문역사문화공원,200472.9329094737,451681.1530743998,451681.1580743998,200472.9379094737
을지로4가,199826.1351513078,451979.3669356366,451979.3719356366,199826.1401513078
종로3가,199143.54532698143,452555.2168827503,452555.2218827503,199143.55032698144
광화문(세종문화회관),197983.1742492995,452442.7644838521,452442.7694838521,197983.17924929952
서대문,197052.8048782873,451804.63768054417,451804.6426805442,197052.8098782873
충정로(경기대입구),196722.0530612368,451190.2197496429,451190.2247496429,196722.0580612368
애오개,196184.52709268752,450469.02639714506,450469.03139714507,196184.53209268753
마포,195221.53721824987,448897.71299777663,448897.71799777664,195221.54221824987
여의나루,194068.88556041612,447513.7726306092,447513.7776306092,194068.89056041613
신길,192471.37015744497,446463.4583771612,446463.4633771612,192471.37515744497
영등포시장,191614.4094133716,447024.32150963496,447024.32650963496,191614.41441337162
영등포구청,190720.9761607072,447195.1925654245,447195.1975654245,190720.98116070722
양평,189934.33892249828,447348.0497865185,447348.0547865185,189934.3439224983
오목교(목동운동장앞),188966.4287834919,447230.18796824967,447230.19296824967,188966.4337834919
목동,188060.61359162664,447405.5791519787,447405.5841519787,188060.61859162664
신정(은행정),187287.8621093191,447288.1896480696,447288.1946480696,187287.8671093191
까치산,186448.61756311107,448041.0146045513,448041.0196045513,186448.62256311107
화곡,185900.50198281748,449123.5057924919,449123.5107924919,185900.5069828175
우장산,185535.7596969356,449929.3530670438,449929.3580670438,185535.7646969356
발산,185656.9405306841,451020.159873815,451020.164873815,185656.9455306841
마곡,184577.55205909585,451198.0112349825,451198.0162349825,184577.55705909585
송정,183387.19688054043,451311.4069720696,451311.4119720696,183387.20188054044
개화산,182877.13794719908,452557.1839076256,452557.1889076256,182877.14294719909
방화,183458.6489688637,453116.1664289372,453116.17142893723,183458.6539688637
도봉,204022.0838635417,464434.5707994006,464434.5757994006,204022.0888635417
방학,203906.09804750132,463095.9716798439,463095.9766798439,203906.10304750132
압구정로데오,203582.927843678,447543.83860907424,447543.84360907425,203582.932843678
서울숲,203950.9358149498,449346.0022783684,449346.0072783684,203950.9408149498
구일,188574.3168541772,444151.92371429375,444151.92871429375,188574.3218541772
오류동,186325.32898218755,443907.8129513697,443907.8179513697,186325.33398218756
개봉,187591.24396247152,443913.3767258018,443913.3817258018,187591.24896247152
독산,190202.43334694812,440804.3698952036,440804.3748952036,190202.43834694813
금천구청,190619.5881230464,439584.4812146641,439584.4862146641,190619.5931230464
구로,189563.21220536245,444847.95801442064,444847.96301442065,189563.21720536245
수색,190779.31570551984,453481.7219063456,453481.72690634563,190779.32070551984
가좌,192533.73089572377,452109.1381649761,452109.1431649761,192533.73589572377
서강대,194319.1518106084,450264.2097718751,450264.2147718751,194319.1568106084
신촌,194928.1601665537,451135.2945205968,451135.2995205968,194928.1651665537
양원,209528.0570112472,456340.4798473204,456340.4848473204,209528.0620112472
망우,208116.29337386688,455556.9481978621,455556.9531978621,208116.29837386688
중랑,206722.0628046056,455041.488937376,455041.493937376,206722.0678046056
대모산입구,206431.03847038225,443549.1229792129,443549.1279792129,206431.04347038225
개포동,205849.30799621769,443298.19642793183,443298.20142793184,205849.3129962177
구룡,205205.2814749356,443045.0517709535,443045.0567709535,205205.2864749356
도곡,204880.41781397496,443531.5324959485,443531.5374959485,204880.42281397496
한티,204675.5532916749,444087.79257997527,444087.7975799753,204675.5582916749
선릉,204315.501288808,445044.1958246017,445044.2008246017,204315.506288808
창동,204218.6261738628,461487.2127194076,461487.2177194076,204218.6311738628
녹천,204524.715522042,460576.3693926888,460576.3743926888,204524.72052204201
월계,205192.90185942905,459290.7237015316,459290.7287015316,205192.90685942906
광운대,205458.75992538736,458227.6150321225,458227.62003212253,205458.76492538737
신이문,205945.14762217252,455810.8261267246,455810.8311267246,205945.15262217252
외대앞,205612.1413508498,455168.9668194605,455168.9718194605,205612.1463508498
회기,205085.72171590032,454434.65810479166,454434.66310479166,205085.72671590032
청량리(서울시립대입구),204266.3450719897,453468.48374057456,453468.48874057457,204266.3500719897
응봉,203052.00266934044,450048.0661413297,450048.0711413297,203052.00766934044
옥수,201650.18892806617,448993.284421398,448993.289421398,201650.19392806618
한남,200810.45458451897,447770.5196382202,447770.5246382202,200810.45958451898
서빙고,198986.64405254764,446678.8688369144,446678.8738369144,198986.64905254764
이촌(국립중앙박물관),197649.1172149076,446993.5667960729,446993.5717960729,197649.1222149076
신도림,190375.48640319807,445484.9341960239,445484.9391960239,190375.49140319807
영등포,191833.65306054536,446228.8775820336,446228.8825820336,191833.65806054536
용산,196867.5384659817,447817.5740789298,447817.5790789298,196867.5434659817
남영,197463.5786828738,449057.3256511846,449057.3306511846,197463.5836828738
남태령,199038.70640214905,440494.5625442941,440494.5675442941,199038.71140214906
사당,198376.98301122725,441946.5903504811,441946.5953504811,198376.98801122725
총신대입구(이수),198407.0776040788,442979.64870599983,442979.65370599984,198407.0826040788
신용산,197162.11740283252,447742.1077159331,447742.1127159331,197162.12240283252
숙대입구(갈월),197534.9271097008,449450.0902032324,449450.0952032324,197534.9321097008
회현(남대문시장),198077.8949339433,450998.6736322545,450998.6786322545,198077.8999339433
명동,198791.7662382268,451273.2348042422,451273.2398042422,198791.7712382268
충무로,199476.94895686847,451297.3588047679,451297.3638047679,199476.95395686847
동대문,200820.42968222933,452376.5219363056,452376.5269363056,200820.43468222933
혜화,200162.8773112539,453642.417603046,453642.422603046,200162.8823112539
한성대입구(삼선교),200549.4451065052,454321.9066895964,454321.9116895964,200549.45010650522
길음,202212.2640860808,455981.35585935786,455981.36085935787,202212.2690860808
미아사거리,202653.42971099503,457078.61249712965,457078.61749712966,202653.43471099503
미아(서울사이버대학),202293.6715611017,458563.32011531433,458563.32511531434,202293.67656110172
수유(강북구청),202271.16790083444,459826.5968895428,459826.6018895428,202271.17290083444
쌍문,203063.0651735836,461000.5686364363,461000.5736364363,203063.0701735836
상계,206491.6540771053,462362.2863748115,462362.2913748115,206491.65907710532
당고개,206975.5401978909,463405.32269608194,463405.32769608195,206975.5451978909
경찰병원,211013.10653998452,444058.3602917461,444058.3652917461,211013.11153998453
일원,207463.84761709112,442696.2734719308,442696.2784719308,207463.85261709112
대청,207033.2612664737,443787.2331432937,443787.2381432937,207033.2662664737
학여울,206242.58399913428,444136.1008080432,444136.1058080432,206242.58899913428
대치,205627.97675407163,443908.0281611653,443908.0331611653,205627.98175407163
매봉,204136.28949822643,443056.438687717,443056.443687717,204136.29449822643
남부터미널(예술의전당),201431.805580086,442840.8859789362,442840.8909789362,201431.810580086
교대(법원.검찰청),201219.14655815903,443730.0786353833,443730.0836353833,201219.15155815904
잠원,200991.964647137,445920.2677644798,445920.2727644798,200991.969647137
압구정,202515.7677224289,447509.1520591839,447509.1570591839,202515.7727224289
금호,201402.58912327,449835.4149353906,449835.4199353906,201402.59412327
동대입구,200494.9689757597,451058.17757673946,451058.18257673946,200494.9739757597
을지로3가,199341.6399231344,451903.919174452,451903.924174452,199341.64492313442
안국,198714.10475871703,452992.2338052163,452992.23880521633,198714.10975871704
경복궁(정부서울청사),197661.7453660713,452913.1068057933,452913.1118057933,197661.7503660713
독립문,196267.5666918932,452781.429393291,452781.434393291,196267.57169189322
무악재,195609.28821338844,453639.47107937786,453639.47607937787,195609.29321338845
홍제,195030.74597677003,454390.8579446427,454390.8629446427,195030.75097677004
녹번,194326.8503397233,455707.7487524169,455707.75375241693,194326.85533972332
구파발,192834.8228496365,459686.3194706321,459686.3244706321,192834.8278496365
용두(동대문구청),203364.8856577509,452721.0055163999,452721.0105163999,203364.89065775092
신정네거리,186997.15718034428,446742.2460901973,446742.2510901973,186997.16218034428
양천구청,188136.94465773177,445888.6009411948,445888.6059411948,188136.94965773178
도림천,189635.6818445948,446096.25408400537,446096.2590840054,189635.6868445948
신답,204106.261104012,452278.7173137325,452278.7223137325,204106.266104012
용답,204497.04863655503,451375.91881042375,451375.92381042376,204497.05363655504
아현,196124.71615789487,450869.61019599845,450869.61519599846,196124.72115789488
이대,195229.7894943289,450802.1512346117,450802.1562346117,195229.7944943289
문래,190696.3308657846,446499.6606810575,446499.6656810575,190696.3358657846
구로디지털단지,191279.62566596377,442873.40875019785,442873.41375019785,191279.63066596378
신대방,192318.8770617256,443116.1124927068,443116.1174927068,192318.8820617256
봉천,194860.56570661045,442548.1229455772,442548.1279455772,194860.57070661045
서울대입구(관악구청),195819.88005438712,442423.8359586208,442423.8409586208,195819.88505438712
낙성대,196788.54988222788,441944.2766559357,441944.2816559357,196788.55488222788
방배,199787.3725888249,442442.65622824937,442442.6612282494,199787.3775888249
서초,200700.1398838585,443604.8255866729,443604.8305866729,200700.1448838585
역삼,203223.6113087287,444573.7817534512,444573.7867534512,203223.6163087287
삼성(무역센터),205584.2925808968,445487.5676729547,445487.5726729547,205584.29758089682
잠실새내,207617.7262583649,445804.7180677721,445804.7230677721,207617.73125836492
잠실나루,209175.14000476128,446810.28313262376,446810.28813262377,209175.1450047613
강변(동서울터미널),208368.29052853305,448403.4376491876,448403.4426491876,208368.29552853305
구의(광진구청),207593.40317335245,448622.6715307741,448622.6765307741,207593.40817335245
성수,204945.4330538519,449453.52700810647,449453.5320081065,204945.43805385192
뚝섬,204185.8111856825,449742.01122266497,449742.01622266497,204185.81618568252
한양대,203857.36565647792,450639.6344493892,450639.6394493892,203857.37065647793
상왕십리,202593.41126256555,451647.0272714203,451647.0322714203,202593.41626256556
을지로입구,198464.34305519224,451831.004795707,451831.009795707,198464.34805519224
시청,197827.55187524555,451561.88945800153,451561.89445800154,197827.55687524556
제기동,203082.2125158652,453173.1738350652,453173.1788350652,203082.2175158652
종로5가,200163.3438744404,452376.0390473293,452376.0440473293,200163.34887444042
종각,198491.3726961689,452291.2684222825,452291.2734222825,198491.3776961689
